Time Stamp,Schedule(MW),Drawl(MW),OD/UD(MW),Demand(MW), Total SSGS(MW),UP Thermal Generation (MW),IPP Thermal Generation (MW), UP Hydro Generation (MW),Co-gen/CPP Generation (MW),RE/Solar Generation (MW), Frequency (Hz),Deviation Rate (Paise/Unit)
2018-11-18 12:25:15.636365, 4230 , 3989 , -241 , 11217 , 7236 , 3589 , 3371 , 275 , 400 , 180 , 49.88 , 448.92 
2018-11-18 12:25:47.489097, 4230 , 4010 , -220 , 11270 , 7260 , 3596 , 3392 , 272 , 400 , 180 , 49.94 , 303.04 
2018-11-18 12:26:14.219461, 4230 , 4010 , -220 , 11270 , 7260 , 3596 , 3392 , 272 , 400 , 180 , 49.94 , 303.04 
2018-11-18 12:27:37.255027, 4230 , 4010 , -220 , 11270 , 7260 , 3596 , 3392 , 272 , 400 , 180 , 49.94 , 303.04 
2018-11-18 12:29:20.373452, 4230 , 4010 , -220 , 11270 , 7260 , 3596 , 3392 , 272 , 400 , 180 , 49.94 , 303.04 
2018-11-18 12:29:56.526219, 4230 , 4010 , -220 , 11270 , 7260 , 3596 , 3392 , 272 , 400 , 180 , 49.94 , 303.04 
2018-11-18 12:30:30.729356, 4230 , 4010 , -220 , 11270 , 7260 , 3596 , 3392 , 272 , 400 , 180 , 49.94 , 303.04 
2018-11-18 12:31:04.687450, 4230 , 4010 , -220 , 11270 , 7260 , 3596 , 3392 , 272 , 400 , 180 , 49.94 , 303.04 
2018-11-18 12:31:38.290746, 4230 , 4136 , -94 , 11393 , 7258 , 3587 , 3398 , 272 , 400 , 179 , 50.03 , 106.80 
2018-11-18 12:32:12.740840, 4230 , 4136 , -94 , 11393 , 7258 , 3587 , 3398 , 272 , 400 , 179 , 50.03 , 106.80 
2018-11-18 12:32:48.870644, 4230 , 4136 , -94 , 11393 , 7258 , 3587 , 3398 , 272 , 400 , 179 , 50.03 , 106.80 
2018-11-18 12:33:25.026135, 4230 , 4136 , -94 , 11393 , 7258 , 3587 , 3398 , 272 , 400 , 179 , 50.03 , 106.80 
2018-11-18 12:34:00.272138, 4230 , 4136 , -94 , 11393 , 7258 , 3587 , 3398 , 272 , 400 , 179 , 50.03 , 106.80 
2018-11-18 12:34:36.561004, 4230 , 4136 , -94 , 11393 , 7258 , 3587 , 3398 , 272 , 400 , 179 , 50.03 , 106.80 
2018-11-18 12:35:10.994572, 4230 , 4136 , -94 , 11393 , 7258 , 3587 , 3398 , 272 , 400 , 179 , 50.03 , 106.80 
2018-11-18 12:35:45.317952, 4301 , 4129 , -172 , 11372 , 7244 , 3584 , 3393 , 267 , 400 , 179 , 49.98 , 240.52 
2018-11-18 12:36:22.751190, 4301 , 4129 , -172 , 11372 , 7244 , 3584 , 3393 , 267 , 400 , 179 , 49.98 , 240.52 
2018-11-18 12:36:55.852513, 4301 , 4129 , -172 , 11372 , 7244 , 3584 , 3393 , 267 , 400 , 179 , 49.98 , 240.52 
2018-11-18 12:37:36.309363, 4301 , 4129 , -172 , 11372 , 7244 , 3584 , 3393 , 267 , 400 , 179 , 49.98 , 240.52 
2018-11-18 12:38:15.532558, 4301 , 4129 , -172 , 11372 , 7244 , 3584 , 3393 , 267 , 400 , 179 , 49.98 , 240.52 
2018-11-18 12:39:00.492334, 4301 , 4129 , -172 , 11372 , 7244 , 3584 , 3393 , 267 , 400 , 179 , 49.98 , 240.52 
2018-11-18 12:39:38.337613, 4301 , 4129 , -172 , 11372 , 7244 , 3584 , 3393 , 267 , 400 , 179 , 49.98 , 240.52 
2018-11-18 12:40:16.870883, 4301 , 4129 , -172 , 11372 , 7244 , 3584 , 3393 , 267 , 400 , 179 , 49.98 , 240.52 
2018-11-18 12:40:55.360827, 4301 , 3993 , -308 , 11271 , 7278 , 3595 , 3410 , 271 , 400 , 179 , 49.86 , 469.76 
2018-11-18 12:41:34.313985, 4301 , 3993 , -308 , 11271 , 7278 , 3595 , 3410 , 271 , 400 , 179 , 49.86 , 469.76 
2018-11-18 12:42:12.535836, 4301 , 3993 , -308 , 11271 , 7278 , 3595 , 3410 , 271 , 400 , 179 , 49.86 , 469.76 
2018-11-18 12:42:48.295549, 4301 , 3993 , -308 , 11271 , 7278 , 3595 , 3410 , 271 , 400 , 179 , 49.86 , 469.76 
2018-11-18 12:43:23.770938, 4301 , 3993 , -308 , 11271 , 7278 , 3595 , 3410 , 271 , 400 , 179 , 49.86 , 469.76 
2018-11-18 12:43:57.985658, 4301 , 3993 , -308 , 11271 , 7278 , 3595 , 3410 , 271 , 400 , 179 , 49.86 , 469.76 
2018-11-18 12:44:35.029540, 4301 , 3993 , -308 , 11271 , 7278 , 3595 , 3410 , 271 , 400 , 179 , 49.86 , 469.76 
2018-11-18 12:45:16.774726, 4301 , 3993 , -308 , 11271 , 7278 , 3595 , 3410 , 271 , 400 , 179 , 49.86 , 469.76 
2018-11-18 12:45:52.569652, 4301 , 3993 , -308 , 11271 , 7278 , 3595 , 3410 , 271 , 400 , 179 , 49.86 , 469.76 
2018-11-18 12:46:31.818790, 4301 , 4019 , -282 , 11291 , 7272 , 3583 , 3413 , 276 , 400 , 177 , 49.92 , 365.56 
2018-11-18 12:47:11.830929, 4301 , 4019 , -282 , 11291 , 7272 , 3583 , 3413 , 276 , 400 , 177 , 49.92 , 365.56 
2018-11-18 12:47:50.318163, 4301 , 4019 , -282 , 11291 , 7272 , 3583 , 3413 , 276 , 400 , 177 , 49.92 , 365.56 
2018-11-18 12:48:22.895016, 4301 , 4019 , -282 , 11291 , 7272 , 3583 , 3413 , 276 , 400 , 177 , 49.92 , 365.56 
2018-11-18 12:48:55.308240, 4301 , 4019 , -282 , 11291 , 7272 , 3583 , 3413 , 276 , 400 , 177 , 49.92 , 365.56 
